Date of Cartoon,Title,Major Subject
"Saturday, January 2, 1960","""Mirror, Mirror, on the Wall, Who's the Fairest One of All?""","Presidential Election, 1960"
"Sunday, January 3, 1960","""To Another Year""",Eisenhower Administration
"Tuesday, January 5, 1960","""We've Got To Take The Long View""","Presidential Election, 1960"
"Thursday, January 7, 1960",Don't Worry. We're Keeping A Firm Hand On The Till',Eisenhower Administration
"Friday, January 8, 1960","""Never Mind The Fine Print. Now, Over Here--""","Eisenhower, Dwight D"
"Sunday, January 10, 1960","""We Feel Deeply About Education -- Here's a Book""",Eisenhower Administration
"Tuesday, January 12, 1960","""Gently -- Gently --""",US Economy
"Wednesday, January 13, 1960","""Hold On There, Hotspur!""",Civil Rights
"Thursday, January 14, 1960","""Well, Those Are Outside The Country""",Eisenhower Administration
"Friday, January 15, 1960","""At Last -- I'm Completely Secure In Here!""","Presidential Election, 1960"
"Monday, January 18, 1960","""Now It's Just A Question Of Whose Kind Of Peace""",Eisenhower Administration
"Tuesday, January 19, 1960","""That Gives Us A Surplus Of Four Tires, Right There. And If We Take Out The Engine --""",Eisenhower Administration
"Wednesday, January 20, 1960","""At The Next Sound The Time Will Be Later Than You Think""",Nuclear Weapons
"Thursday, January 21, 1960","""I Thought You Said We Had Him Blocked""","Presidential Election, 1960"
"Friday, January 22, 1960",Secret Weapon,Eisenhower Administration
"Monday, January 25, 1960","""Boy, Talk About The High Cost Of Tranquilizers""",Eisenhower Administration
"Tuesday, January 26, 1960","""Hello, Gen. MacArthur? Does That Company You Work For Need A Foreign Representative?""",France
"Wednesday, January 27, 1960","""You Mean You'll Take The Whole Works?""","Presidential Election, 1960"
"Thursday, January 28, 1960","""Relax -- Maybe I'll Pick Your Presidential Candidate For You""","Presidential Election, 1960"
"Friday, January 29, 1960","""Tote Dat Bilge, Lift Dat Bale""",Eisenhower Administration
"Sunday, January 31, 1960",[Untitled],Algeria
"Tuesday, February 2, 1960","""You Think There's Anything In That Old Cinderella Story?""","Presidential Election, 1960"
"Wednesday, February 3, 1960","""You The Man Who's Been Asking For Me To Step Outside?""",Congress
"Thursday, February 4, 1960","""Oh, There Might Be A Slight Gap In Some Areas""",Eisenhower Administration
"Friday, February 5, 1960","""Well, The Enlisted Men Aren't The Only Ones With Problems""",Eisenhower Administration
"Sunday, February 7, 1960","""Who Planted That Tree There?""","Nixon, Richard"
