Date of Cartoon,Title,Major Subject
"Thursday, January 3, 1946","""Brother, I'll Show You How To Split Something Big!""",World Stability
"Friday, January 4, 1946",End of Another Lid-Lifting Experiment,Truman Administration
"Saturday, January 5, 1946","""You Mean Me, Harry?""",Truman Administration
"Sunday, January 6, 1946",A Sitdown Is Over,Special Interests
"Monday, January 7, 1946",All That Meat And No Trimmings,Labor
"Tuesday, January 8, 1946",This Year's Big Game,Congress
"Wednesday, January 9, 1946",Snafu,Truman Administration
"Thursday, January 10, 1946","""The World's Last Chance""",United Nations
"Friday, January 11, 1946",Laocoon,Special Interests
"Saturday, January 12, 1946","""Hey--A Guy Could Slip On That!""",Truman Administration
"Sunday, January 13, 1946",The Not-So-Bitter Tea Of General Marshall,Republic of China
"Monday, January 14, 1946",Is This The End Of The Experiment?,Truman Administration
"Tuesday, January 15, 1946",Horatius At The Bridge,Congress
"Wednesday, January 16, 1946","""It's Terrible, People Refusin' to Work!""",Congress
"Thursday, January 17, 1946","""The Large Economy-Size Package""",Truman Administration
"Friday, January 18, 1946","""We've Got A Bomb Too!""",United Nations
"Saturday, January 19, 1946","""That's The Way I've Always Taken Their Bets""",US Economy
"Sunday, January 20, 1946",Dragon's Teeth,US Economy
"Monday, January 21, 1946","""See? I'm Your Pal!""",Argentina
"Tuesday, January 22, 1946",Just Within Sight Of Land,US Economy
"Wednesday, January 23, 1946","""He Polished Up That Handle So CarefulleeThat Now He Is the Ruler of the Queen's Navee""",Truman Administration
"Thursday, January 24, 1946","""I Hear Our Demonstrations Hurt American Prestige""",Congress
"Friday, January 25, 1946","""Gee--It Seems Just Like A Dream""",Truman Administration
"Saturday, January 26, 1946",Job No. 1,United Nations
"Sunday, January 27, 1946","""If They Call Us Up, Remember, We're Not Here!""",Space
"Monday, January 28, 1946","Roll Out The Barrel, We'll Have A Barrel Of Fun!'",Congress
"Tuesday, January 29, 1946","""I Got No Control Over Myself""",Senate
"Wednesday, January 30, 1946",What Was That Strange Noise?',Congress
"Thursday, January 31, 1946","""This That Junk You Were Telling Me About?""",Truman Administration
"Friday, February 1, 1946","""Look! He's Throwing Something Away""",Truman Administration
"Saturday, February 2, 1946","Well, No Wonder",Truman Administration
"Sunday, February 3, 1946","""Personally, I Never Heard Of Them Before",Spain
"Monday, February 4, 1946",The Way It Stacks Up,Truman Administration
"Tuesday, February 5, 1946","""Us Battle Veterans Got To Stick Together""",Congress
"Wednesday, February 6, 1946","There's Still Life In This Old Gal, Too, Honey'",Supreme Court
"Thursday, February 7, 1946",Did Anyone Think Of This Appropriate Site?,United Nations
"Friday, February 8, 1946",Bread Upon The Waters,World Stability
"Saturday, February 9, 1946",What's That Boy Been Eating Lately?,Congress
